,track_id,track_name,track_popularity,artist_id,artist_name,album_id,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
236,2z39qAqEgZUC7vJUnatv5Y,Rotina,30,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.556,0.695,11,-10.493,0,0.451,0.435,0.0,0.491,0.786,179.762,170587,4
237,7p7gRmIidSlIYrGNaaLYDK,E.M.I.C.I.D.A (Adoooro),30,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.632,0.777,10,-6.185,0,0.384,0.0742,0.0,0.118,0.816,84.804,204840,4
238,7zvTUP7AJlZWyJ1S6rYOwP,Nóiz,20,2d9LRvQJnAXRijqIJDDs2K,Emicida,4UqGzHq5gbqDhFI27IPVd2,O Glorioso Retorno de Quem Nunca Esteve Aqui,0.726,0.882,8,-3.864,1,0.34,0.165,0.0,0.339,0.894,159.792,303227,4
239,2aF2TcOKOROrxoBN7XZ0bL,Boa Esperança - Ao Vivo,6,2d9LRvQJnAXRijqIJDDs2K,Emicida,1sGdpZ0Ry0qcNAC6ILv4of,10 Anos de Triunfo (Ao Vivo),0.651,0.943,4,-6.059,0,0.296,0.222,0.0,0.848,0.684,86.028,199707,4
240,60U9NrQvXR3qD3pywGznBn,"Por Deus, por Favor",26,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.778,0.334,9,-13.143,0,0.358,0.406,0.00324,0.164,0.355,90.726,181653,4
241,5022KgQuD9TrRgafcwsYp9,Rap do Motoboy,26,2d9LRvQJnAXRijqIJDDs2K,Emicida,6dzH0YRl4S2nWHli0R6Llv,Rap do Motoboy,0.793,0.631,6,-6.51,0,0.202,0.26,0.0,0.265,0.614,144.025,216907,4
242,1VwvVtK7KGK8f9tC65FOIh,Isso Não Pode Se Perder,27,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.566,0.665,7,-8.463,1,0.325,0.174,0.0,0.755,0.646,88.106,230413,4
243,7macYMax42Gtno0oSrbX8d,Mufete,3,2d9LRvQJnAXRijqIJDDs2K,Emicida,593RZfvtz4IAPWZpELwqDB,"Sobre Crianças, Quadris, Pesadelos e Lições de Casa...",0.714,0.903,2,-5.833,1,0.152,0.0486,8.53e-06,0.293,0.439,93.023,238560,4
244,1c8u8eAFIBHzox24Q9MMRC,Pra Mim (Isso É Viver),29,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.805,0.507,1,-10.198,1,0.367,0.635,0.0,0.129,0.896,89.251,151173,4
245,1iuUsfIr9AlrG5UFk6DLt2,Vacilão,25,2d9LRvQJnAXRijqIJDDs2K,Emicida,36hxSCqB8A4hpUxhrH9zbZ,Sua Mina Ouve Meu Rep Tamem,0.883,0.685,1,-7.881,1,0.278,0.158,0.0,0.574,0.965,90.681,180547,4
246,7i9MpNHuZWqpCSbg6uHBTm,Cidadão,27,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.826,0.682,4,-10.313,0,0.377,0.212,9.79e-06,0.122,0.779,89.823,85920,4
247,6s7zBFmqbgOqixjB8WTHoE,Vou Busca Minha Fulô,27,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.717,0.46,6,-12.419,0,0.41,0.38,0.0,0.384,0.8,92.311,83800,4
248,4d23omGuGadPOnTk8Hay2B,Pequenas Empresas,26,2d9LRvQJnAXRijqIJDDs2K,Emicida,24FRiS4aTYXDcL48UPknP7,Doozicabraba e a Revolução Silenciosa,0.702,0.783,10,-4.865,0,0.269,0.229,0.0,0.22,0.883,84.005,240013,4
249,4voIFUvBEUtBMVBfxyBWJN,Santo Amaro da Purificação,26,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.728,0.594,6,-9.813,0,0.584,0.14,0.0,0.412,0.534,79.223,165147,4
250,1fxe4QTVcP32FxjTPDoiZl,Vital,27,2d9LRvQJnAXRijqIJDDs2K,Emicida,1U8sukw1UVGAzxcCXH4P1x,Vital,0.689,0.624,3,-8.879,0,0.401,0.161,0.0,0.106,0.447,128.247,191560,4
251,1Mu24wXS9kB5bxTHeV0OhG,Preciso (Melô do Mundiko),26,2d9LRvQJnAXRijqIJDDs2K,Emicida,3ZA85zeudxFA1NGeb6avXS,Pra Quem Já Mordeu um Cachorro por Comida Até Que Eu Cheguei Longe,0.706,0.558,5,-10.405,0,0.579,0.193,0.0,0.586,0.91,179.289,214920,4
252,2LAhOdcfPJUgWqwm6zmLG6,Avua Besouro,23,2d9LRvQJnAXRijqIJDDs2K,Emicida,1xTiVYWuLx7GkZN9NLRVEs,Emicidio,0.731,0.796,1,-9.249,1,0.424,0.112,4.78e-06,0.0711,0.93,175.547,229613,4
